kernel_sizes,num_filters,num_fc_layers,fc_size,accuracy,iteration,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
"[3, 3, 3]",32,3,128,58.08444444444444,0,70.56737588652483,55.46099290780142,55.71428571428572,43.26241134751773,43.75,37.23252496433666,69.7872340425532,57.642857142857146,71.06382978723404,74.32624113475177
"[3, 3, 3]",32,3,128,58.23222222222222,1,67.58865248226951,67.51773049645391,54.35714285714285,47.73049645390071,47.30113636363637,35.02139800285307,69.21985815602837,59.21428571428572,68.08510638297872,62.6241134751773
"[3, 3, 3]",32,3,128,57.59222222222222,2,73.04964539007092,52.83687943262412,45.85714285714285,38.58156028368794,50.35511363636363,43.295292439372325,61.48936170212766,72.07142857142857,60.283687943262414,75.39007092198581
"[3, 3, 3]",32,3,128,58.166666666666664,0,71.56028368794327,59.716312056737586,55.785714285714285,43.47517730496454,44.17613636363637,39.30099857346648,62.97872340425532,65.92857142857143,64.53900709219859,72.26950354609929
"[3, 3, 3]",32,3,128,57.50555555555555,1,72.34042553191489,68.08510638297872,51.42857142857143,48.36879432624114,43.25284090909091,36.51925820256776,60.780141843971634,65.78571428571429,65.177304964539,66.17021276595744
"[3, 3, 3]",32,3,128,57.65888888888889,2,71.84397163120568,64.8936170212766,55.42857142857143,41.06382978723404,44.24715909090909,40.15691868758916,71.77304964539007,68.85714285714286,56.808510638297875,63.333333333333336
"[3, 3, 3]",32,3,128,58.01444444444444,3,68.36879432624113,67.30496453900709,46.285714285714285,46.808510638297875,47.37215909090909,39.657631954350926,74.11347517730496,61.42857142857143,60.56737588652482,69.7872340425532
"[3, 3, 3]",32,3,128,58.28,4,67.16312056737588,67.58865248226951,52.5,45.177304964539005,48.29545454545455,28.316690442225394,72.90780141843972,68.42857142857143,65.67375886524823,66.66666666666667
"[3, 3, 3]",32,3,64,57.30222222222222,0,76.66666666666667,59.43262411347518,58.857142857142854,32.765957446808514,54.54545454545455,35.164051355206844,70.63829787234043,65.0,64.39716312056737,56.808510638297875
"[3, 3, 3]",32,3,64,58.25555555555555,1,65.81560283687944,65.81560283687944,54.285714285714285,42.765957446808514,48.15340909090909,42.582025677603426,70.28368794326241,65.14285714285714,58.58156028368794,68.29787234042553
"[3, 3, 3]",32,3,64,56.69111111111111,2,65.60283687943263,58.86524822695036,56.42857142857143,37.3758865248227,44.03409090909091,36.66191155492154,71.27659574468085,67.21428571428571,64.53900709219859,67.09219858156028
"[3, 3, 3]",32,3,64,57.916666666666664,3,70.28368794326241,62.4822695035461,47.42857142857143,36.808510638297875,52.13068181818182,35.87731811697575,71.98581560283688,74.0,68.01418439716312,64.18439716312056
